ID no.	Business Name	Street address	City	State	Zip Code	Phone	Rating	Gender majority	 Median Salary 	Latte Price
237	 Frothy Escapes	73 Beilfuss Park	Riverside	California	92513	951-255-3264	4.19	Male	 $89,067 	$5.36
238	 Sip & Smiles	453 Cambridge Circle	San Bernardino	California	92405	909-318-5436	2.43	Male	 $81,409 	$5.03
239	 Perk & Panache	107 Helena Trail	San Francisco	California	94142	415-822-6533	5.00	Female	 $87,294 	$5.34
240	 Urban Espresso Eden	43223 Shoshone Place	Santa Barbara	California	93111	805-243-6754	4.36	Female	 $88,404 	$5.73
241	 Steamy Sensations	1 Ridgeview Drive	Northridge	California	91328	818-302-7997	4.51	Female	 $86,832 	$5.46
242	 Caffeine Communion	340 Schlimgen Trail	Stockton	California	95298	209-572-4800	4.78	Male	 $83,024 	$4.98
243	 Mugful Magic	88 Leroy Lane	San Diego	California	92132	858-123-7292	4.52	Male	 $82,904 	$5.15
244	 Bean Brilliance	5 Autumn Leaf Terrace	Pasadena	California	91117	626-950-7948	4.66	Female	 $86,350 	$5.52
245	 Coffee Coziness	9267 Columbus Terrace	Stockton	California	95298	209-364-0626	4.71	Female	 $83,024 	$5.47
246	 The Roast Refinery	608 Mcguire Point	San Francisco	California	94137	415-102-7250	4.96	Female	 $77,404 	$4.72
247	 Espresso Exuberance	1818 Kenwood Park	San Jose	California	95194	408-234-9056	4.60	Male	 $84,762 	$5.23
248	 Brewed Dreamscape	3507 Lakewood Circle	Fresno	California	93762	559-832-1172	3.63	Male	 $75,024 	$4.42
249	 Cup of Comfort	7 Loftsgordon Way	Long Beach	California	90831	562-476-3555	2.64	Female	 $76,580 	$4.89
250	 Latte Landmark	8396 Carioca Plaza	Los Angeles	California	90030	213-225-8180	4.10	Male	 $88,142 	$5.60
251	 Java Joyhouse	309 Corben Crossing	Pasadena	California	91125	626-214-4394	4.33	Female	 $89,065 	$5.50
252	 Frothy Fusion	94 Canary Junction	Van Nuys	California	91411	213-812-7078	4.08	Female	 $76,034 	$5.01
253	 Sip & Stories	4482 Almo Crossing	Richmond	California	94807	510-439-0426	4.00	Male	 $78,788 	$5.05
254	 Perk Paradise	651 Butternut Way	Oakland	California	94611	415-224-5089	4.01	Female	 $76,243 	$4.96
255	 Urban Brewtropolis	88885 Vera Hill	Santa Monica	California	90405	310-304-9907	4.71	Male	 $86,920 	$5.16
256	 Steamy Moments	2414 Gulseth Road	Los Angeles	California	90071	310-938-6299	4.53	Male	 $87,695 	$5.32
257	 Caffeine Confluence	2 Kennedy Drive	Bakersfield	California	93305	805-262-4326	4.50	Male	 $82,664 	$5.18
258	 Mugful Musings	320 Bellgrove Road	Fresno	California	93721	559-742-1761	4.93	Male	 $76,700 	$4.97
259	 Bean Bonanza	98 Tomscot Court	Corona	California	92878	951-188-6449	4.00	Female	 $80,359 	$5.17
260	 The Roast Realm	96 Helena Plaza	San Jose	California	95150	408-628-3510	4.10	Female	 $88,036 	$5.04
261	 Brewed Serendipity	33643 Arkansas Parkway	Los Angeles	California	90076	323-186-3303	1.90	Male	 $76,801 	$5.24
262	 Cup of Cozy	808 Lillian Park	Los Angeles	California	90020	626-613-9633	4.97	Male	 $82,047 	$4.71
263	 Latte Lighthouse	96037 Jana Trail	Pomona	California	91797	909-679-6100	4.94	Female	 $83,646 	$5.42
264	 Java Journeys	1 Bonner Alley	Pasadena	California	91199	626-462-7791	4.47	Female	 $80,131 	$4.89
265	 Frothy Escapades	947 Wayridge Trail	Modesto	California	95397	209-784-3885	4.77	Female	 $76,537 	$4.98
266	 Sip & Sparkle	911 Esker Plaza	Palmdale	California	93591	661-134-4973	4.00	Female	 $79,549 	$5.16
267	 Perk & Peace	37 Hovde Circle	Long Beach	California	90805	562-522-2591	4.31	Female	 $88,140 	$5.02
268	 Urban Espresso Enchantment	2 Old Gate Trail	San Francisco	California	94116	415-839-1677	4.10	Female	 $78,825 	$4.78
269	 Steamy Reveries	4757 Bartillon Drive	Van Nuys	California	91406	310-352-4153	3.51	Male	 $75,798 	$4.75
270	 Caffeine Cabin	5012 Fairview Park	San Francisco	California	94164	415-341-5078	4.00	Male	 $86,936 	$5.12
271	 Mugful Memoirs	5 Stang Road	Fresno	California	93726	209-774-7647	1.55	Male	 $80,973 	$4.92
272	 Bean Bliss	959 Crescent Oaks Lane	Hayward	California	94544	925-923-4411	4.24	Male	 $72,092 	$4.64
273	 The Roast Rendezvous	95767 Pond Street	Garden Grove	California	92844	714-257-8650	2.87	Male	 $80,480 	$4.64
274	 Brewed Brilliance	8 Summerview Center	Riverside	California	92505	909-954-2879	4.25	Female	 $89,573 	$5.23
275	 Cup of Comforts	297 Mayfield Circle	San Diego	California	92186	619-951-8348	1.80	Male	 $86,236 	$5.47
276	 Latte Luxuries	7 Donald Avenue	Los Angeles	California	90076	323-269-4245	4.57	Male	 $76,801 	$4.51
277	 Java Jamboree	7 Lotheville Point	Sacramento	California	94291	916-712-6244	4.45	Male	 $85,267 	$5.18
278	 Frothy Fables	9 Mayer Court	Brea	California	92822	818-296-3413	1.31	Female	 $84,267 	$5.46
279	 Sip & Synergy	5 Declaration Park	Los Angeles	California	90020	562-592-0464	1.91	Female	 $82,047 	$4.73
280	 Perkopolis	14136 Nova Park	Alhambra	California	91841	626-446-0990	4.78	Female	 $81,704 	$5.44
281	 Urban Brewed Bliss	9481 Scott Street	Van Nuys	California	91406	818-225-4573	1.63	Female	 $75,798 	$5.02
282	 Steamy Escapes	253 Summer Ridge Trail	Berkeley	California	94712	510-653-7504	4.20	Male	 $89,361 	$5.37
283	 Caffeine Cove	304 Claremont Point	Glendale	California	91205	323-897-2149	4.12	Male	 $81,057 	$5.42
284	 Mugful Melodies	3 Manitowish Street	Fullerton	California	92835	714-753-2528	4.99	Male	 $82,286 	$4.86
285	 Bean Boutique	4458 Muir Street	Oakland	California	94616	510-543-1657	4.25	Male	 $72,463 	$4.82
286	 The Roast Retreat	7 Mosinee Center	Whittier	California	90605	562-166-7587	4.30	Female	 $76,893 	$4.93
287	 Brew Haven	37415 Chinook Center	San Francisco	California	94177	415-330-4537	4.47	Male	 $88,503 	$5.41
288	 Cup of Calm	36754 Lakewood Gardens Hill	Los Angeles	California	90071	818-352-8203	4.01	Female	 $87,695 	$5.56
289	 Latte Luxe	81 Lotheville Lane	San Jose	California	95123	408-760-7787	4.42	Female	 $80,356 	$5.25
290	 Java Jubilee	4887 Manitowish Lane	Santa Cruz	California	95064	831-719-5788	3.66	Female	 $88,439 	$5.57
291	 Frothy Fantasy	46751 Thompson Point	Sacramento	California	94286	916-846-4216	4.96	Female	 $73,451 	$5.00
292	 Sip & Solitude	17932 Stephen Plaza	Fresno	California	93721	209-998-0455	1.39	Female	 $76,700 	$5.15
293	 Perk Up Paradise	201 Mifflin Road	Santa Clara	California	95054	831-843-9638	4.83	Male	 $89,323 	$5.30
294	 Aroma Alcove	44404 Golf View Place	San Francisco	California	94137	415-256-7397	4.35	Male	 $77,404 	$4.82
295	 Brewed Bliss	93 Towne Way	Sacramento	California	94230	916-617-7814	2.05	Female	 $81,818 	$4.80
296	 Urban Sips	3 New Castle Center	Los Angeles	California	90087	213-763-1390	2.90	Male	 $85,415 	$4.87
297	 Frothy Fables	1 Jana Hill	Sacramento	California	95813	916-468-8715	2.29	Male	 $80,778 	$4.80
298	 Mug Motif	7278 Goodland Trail	Van Nuys	California	91411	818-244-3070	3.63	Female	 $76,034 	$4.53
299	 Coffee Dreamscape	65 Toban Street	Los Angeles	California	90065	323-585-8864	1.38	Female	 $81,531 	$5.46
300	 The Roast Retreat	7468 Westport Plaza	Sacramento	California	94245	916-199-8523	1.36	Male	 $78,988 	$5.04
301	 Espresso Ecstasy	5 Becker Hill	Petaluma	California	94975	707-575-0804	4.17	Male	 $83,289 	$4.86
302	 Steam & Storytelling	4920 Haas Terrace	Santa Barbara	California	93111	702-566-9067	4.20	Female	 $88,404 	$5.65
303	 Sip & Serenity	26 Maywood Way	Sacramento	California	94245	916-780-6773	4.26	Female	 $78,988 	$4.56
304	 Roast Reverie	9771 2nd Parkway	San Francisco	California	94177	415-639-1549	3.67	Male	 $88,503 	$5.39
305	 Caffeine Concoctions	209 Del Sol Court	Sacramento	California	94273	916-373-4343	4.54	Female	 $73,380 	$4.30
306	 Bean Brilliance	5 Summer Ridge Drive	San Jose	California	95128	714-338-6362	4.14	Male	 $84,929 	$4.96
307	 Perk Plaza	4 Jenna Point	San Diego	California	92110	619-411-9882	4.50	Male	 $84,121 	$5.21
308	 Brewed Bounty	14218 Stone Corner Alley	Chico	California	95973	916-125-9562	5.00	Male	 $72,853 	$4.71
309	 Latte Land	1 Mockingbird Place	Sacramento	California	95813	916-467-3951	4.02	Male	 $80,778 	$5.20
310	 Java Gems	9294 Meadow Vale Terrace	Inglewood	California	90398	310-632-9067	2.96	Female	 $75,008 	$4.76
311	 Frothy Fantasy	3 Toban Lane	Los Angeles	California	90040	213-230-3805	4.20	Male	 $76,485 	$5.14
312	 Sip & Synergy	71 Oakridge Alley	San Jose	California	95108	408-771-9167	4.94	Female	 $80,647 	$4.95
313	 Urban Java Jolt	9177 Golf Course Terrace	Long Beach	California	90805	310-503-8782	3.89	Female	 $88,140 	$5.32
314	 Espresso Edifice	887 Kedzie Pass	Simi Valley	California	93094	805-404-2661	3.91	Male	 $81,752 	$5.08
315	 Steamy Serenades	1 Mcbride Trail	San Francisco	California	94105	510-389-9219	4.61	Male	 $87,534 	$5.23
316	 Caffeine Castle	72 Oak Crossing	Stockton	California	95210	209-149-9942	4.75	Male	 $87,117 	$5.44
317	 Mug Magic	2 Stoughton Alley	Bakersfield	California	93399	661-369-0820	4.67	Female	 $82,438 	$5.25
318	 Bean Boulevard	805 Warrior Junction	San Jose	California	95160	408-374-6647	4.10	Female	 $76,465 	$4.84
319	 The Roastmaster	9 Delladonna Park	San Jose	California	95113	408-943-6606	4.80	Male	 $75,808 	$4.98
320	 Brewed Whimsy	832 Raven Trail	Long Beach	California	90847	562-445-3050	4.36	Male	 $73,031 	$4.47
321	 Cup of Coziness	85289 Dennis Parkway	San Francisco	California	94132	415-416-0082	4.01	Female	 $72,457 	$4.61
322	 Latte Lane	7 Butterfield Way	Los Angeles	California	90081	213-304-7021	4.25	Female	 $74,286 	$4.88
323	 Java Joie de Vivre	5723 Golf View Court	Los Angeles	California	90094	323-410-5164	1.36	Female	 $81,405 	$4.93
324	 Frothy Fusion	14 Doe Crossing Point	Northridge	California	91328	818-458-0608	4.72	Male	 $86,832 	$5.72
325	 Sip & Splendor	73 Canary Parkway	Irvine	California	92710	714-570-8873	2.42	Male	 $79,706 	$5.28
326	 Perkful Paradise	248 Summit Junction	Los Angeles	California	90035	818-556-9760	4.04	Female	 $87,604 	$4.99
327	 Coffee Courtyard	24265 Heffernan Park	Carlsbad	California	92013	760-260-8820	4.57	Female	 $88,951 	$5.38
328	 Espresso Enclave	68321 Butternut Crossing	Garden Grove	California	92844	714-280-4163	4.70	Male	 $80,480 	$5.12
329	 Steamy Rhapsodies	5166 Bay Place	San Jose	California	95173	408-188-2350	4.72	Male	 $79,007 	$5.07
330	 Caffeine Carnival	69159 Clyde Gallagher Plaza	Newport Beach	California	92662	949-957-5552	4.92	Female	 $85,859 	$5.57
331	 Mug Muse	9 Coolidge Terrace	Hayward	California	94544	510-679-6958	4.24	Male	 $72,092 	$4.92
332	 Bean Blissful	53 Hermina Avenue	San Jose	California	95194	408-524-6464	4.25	Female	 $84,762 	$5.36
333	 The Roast Ritual	38835 Holmberg Parkway	Sacramento	California	94263	916-975-9858	4.34	Female	 $78,272 	$5.09
334	 Brewed Blissfulness	923 Grasskamp Terrace	Fresno	California	93709	559-773-0109	4.65	Female	 $76,033 	$4.89
335	 Latte Luxuries	664 Atwood Park	Sacramento	California	94286	916-540-9121	1.71	Male	 $73,451 	$4.56
336	 Java Journey	56959 Forster Parkway	Los Angeles	California	90050	213-784-1077	3.94	Male	 $85,140 	$5.33
337	 Frothy Fields	31746 Harper Center	Sacramento	California	94286	916-398-5664	4.53	Female	 $73,451 	$4.78
338	 Sip & Sensations	5 Helena Avenue	Sacramento	California	95823	510-642-8541	4.82	Female	 $73,165 	$4.87
339	 Perk Nook	57110 Bayside Circle	Sacramento	California	95852	916-940-8644	4.15	Female	 $89,978 	$5.70
340	 Urban Brewscape	381 Russell Place	Modesto	California	95354	209-267-7477	4.22	Male	 $77,031 	$4.56
341	 Steamy Hideaway	64 Grasskamp Pass	San Bernardino	California	92405	909-633-1947	4.47	Male	 $81,409 	$4.93
342	 Caffeine Cabin	56013 Mayfield Drive	San Francisco	California	94164	415-875-8699	1.92	Female	 $86,936 	$5.13
343	 Mug Manor	4330 Harper Hill	San Bernardino	California	92415	760-635-2345	1.61	Male	 $72,573 	$4.46
344	 Bean Euphoria	110 Barby Park	Lancaster	California	93584	661-710-9083	4.00	Male	 $74,009 	$5.06
345	 Coffee Chronicles	887 Rockefeller Point	Sacramento	California	94250	916-865-3854	4.64	Male	 $74,226 	$5.00
346	 Espresso Essence	9130 Grayhawk Alley	Sacramento	California	95818	530-658-9233	2.17	Male	 $83,618 	$5.46
347	 The Roast Revere	2286 Spenser Parkway	Sacramento	California	95838	916-924-7934	1.91	Female	 $83,293 	$4.83
348	 Brewed Abundance	6 Canary Pass	Sacramento	California	95813	916-190-7530	4.79	Male	 $80,778 	$5.32
349	 Cup of Comforts	77 Morningstar Junction	Chula Vista	California	91913	619-922-9271	2.04	Female	 $74,094 	$4.91
350	 Latte Loveliness	56 Transport Junction	San Jose	California	95155	408-409-2364	2.24	Male	 $85,684 	$4.94
351	 Java Jaunt	6069 Luster Court	Sacramento	California	94297	916-588-7772	4.02	Female	 $87,000 	$5.58
352	 Frothy Froth	4629 Golden Leaf Court	San Bernardino	California	92410	951-194-1059	1.61	Male	 $77,543 	$4.91
353	 Sip & Sanctuary	2 Gulseth Street	Pasadena	California	91125	626-703-1515	4.54	Male	 $89,065 	$5.22
354	 Perktopia	890 Straubel Terrace	Long Beach	California	90840	562-314-1354	1.29	Female	 $78,081 	$4.79
355	 Urban Brews & Views	9 Westridge Avenue	Van Nuys	California	91499	213-748-1188	1.94	Male	 $80,299 	$5.04
356	 Steamy Journeys	10517 Harper Junction	Oceanside	California	92056	858-498-9907	4.78	Female	 $77,003 	$4.89
357	 Caffeine Caravan	4839 Pawling Hill	North Hollywood	California	91606	323-207-8632	4.97	Female	 $73,193 	$4.63
358	 Mug Montage	969 Schlimgen Plaza	Santa Barbara	California	93150	805-799-6208	3.06	Male	 $72,001 	$4.72
359	 Bean Bliss	2462 Randy Trail	Chula Vista	California	91913	619-654-3404	4.08	Male	 $74,094 	$4.89
360	 The Roast Reverie	6 Hoard Way	Oxnard	California	93034	805-481-6278	3.50	Female	 $80,680 	$5.07
361	 Brewed Beauty	435 Texas Park	Santa Clara	California	95054	949-898-6413	1.50	Female	 $89,323 	$5.59
362	 Cup of Charm	84 Ruskin Lane	Corona	California	92883	626-492-0927	4.03	Male	 $89,655 	$5.70
363	 Latte Lighthouse	4 Havey Park	Fresno	California	93740	559-966-1197	4.31	Female	 $76,108 	$4.75
364	 Java Jollies	504 Logan Court	Torrance	California	90505	310-166-6441	2.07	Female	 $76,315 	$4.50
365	 Frothy Fusion	848 Westerfield Park	San Mateo	California	94405	805-141-3532	4.99	Female	 $83,324 	$5.07
366	 Sip & Stories	7147 Grasskamp Hill	San Francisco	California	94177	415-693-2519	2.62	Female	 $88,503 	$5.30
367	 Perk Paradise	702 Judy Hill	Bakersfield	California	93311	805-304-8736	4.24	Male	 $83,708 	$5.45
368	 Urban Brewtropolis	19270 Weeping Birch Trail	Palo Alto	California	94302	310-230-2544	4.50	Female	 $89,954 	$5.88
369	 Steamy Moments	98366 Arrowood Trail	Burbank	California	91520	626-522-2759	1.27	Male	 $80,753 	$5.32
370	 Caffeine Communion	670 Pearson Terrace	Fresno	California	93709	559-758-2352	4.46	Female	 $76,033 	$4.58
371	 Mugful Magic	208 Superior Point	San Diego	California	92196	619-506-0447	1.33	Male	 $77,795 	$4.89
372	 Bean Brilliance	9028 Little Fleur Junction	Inglewood	California	90398	310-799-8099	4.67	Male	 $75,008 	$5.15
373	 Coffee Coziness	540 Tony Pass	San Bernardino	California	92424	909-625-6805	1.93	Male	 $82,834 	$5.10
374	 The Roast Refinery	99403 Annamark Way	Corona	California	92878	951-115-8290	4.17	Female	 $80,359 	$5.13
375	 Espresso Exuberance	4 Stuart Street	Fresno	California	93740	559-166-0382	4.84	Male	 $76,108 	$4.42
376	 Brewed Dreamscape	65 Comanche Parkway	Sacramento	California	95828	916-788-5405	4.32	Male	 $83,453 	$5.52
377	 Cup of Comfort	8098 Beilfuss Avenue	Redwood City	California	94064	650-977-7265	4.35	Female	 $88,321 	$5.33
378	 Latte Landmark	5606 Loomis Avenue	Chula Vista	California	91913	619-413-0638	4.10	Male	 $74,094 	$5.01
379	 Java Joyhouse	1 Meadow Vale Alley	Fresno	California	93704	559-692-4031	1.83	Male	 $85,167 	$5.13
380	 Frothy Fusion	4794 Butterfield Alley	Fresno	California	93762	559-437-0624	5.00	Male	 $75,024 	$4.76
381	 Sip & Stories	6586 Fairview Avenue	Sacramento	California	94280	916-421-4765	4.07	Male	 $79,089 	$5.22
382	 Perk Paradise	19 Southridge Pass	Pasadena	California	91117	626-991-7975	4.51	Female	 $86,350 	$5.41
383	 Urban Brewtropolis	797 American Plaza	Los Angeles	California	90020	323-655-7096	4.10	Female	 $82,047 	$5.17
384	 Steamy Moments	9 Ruskin Road	Palo Alto	California	94302	310-553-7461	4.51	Male	 $89,954 	$5.31
385	 Caffeine Communion	83 Nova Trail	Sacramento	California	94291	916-750-1326	4.32	Male	 $85,267 	$5.26
386	 Mugful Magic	74157 Waubesa Avenue	Los Angeles	California	90015	323-583-9323	4.41	Female	 $77,593 	$5.02
387	 Bean Brilliance	6190 Sommers Pass	Long Beach	California	90840	562-368-2292	4.40	Male	 $78,081 	$4.83
388	 Coffee Coziness	7332 Hayes Court	Santa Clara	California	95054	831-252-5749	4.79	Male	 $89,323 	$5.72
389	 The Roast Refinery	52886 Thierer Place	Los Angeles	California	90081	213-321-3547	5.00	Female	 $74,286 	$4.33
390	 Espresso Exuberance	3 Hagan Road	Santa Cruz	California	95064	831-412-7374	1.71	Male	 $88,439 	$5.28
391	 Brewed Dreamscape	12701 Rutledge Trail	Sacramento	California	95833	916-733-6164	4.31	Male	 $81,317 	$4.94
392	 Cup of Comfort	7297 Stuart Plaza	Los Angeles	California	90050	213-392-5700	4.45	Male	 $85,140 	$5.58
393	 Latte Landmark	4946 Steensland Parkway	Fullerton	California	92640	559-782-2371	1.54	Female	 $85,806 	$5.34
394	 Java Joyhouse	97695 Park Meadow Terrace	San Diego	California	92196	619-457-8566	4.02	Female	 $77,795 	$5.06
395	 Frothy Fusion	24 Dorton Parkway	Redwood City	California	94064	650-957-5464	4.66	Female	 $88,321 	$5.27
396	 Sip & Stories	1637 Mosinee Alley	San Diego	California	92153	619-406-4018	3.64	Male	 $85,066 	$5.58
397	 Perk Paradise	9268 Rusk Terrace	San Bernardino	California	92424	909-321-0310	4.46	Female	 $82,834 	$5.43
398	 Urban Brewtropolis	10 Westridge Alley	Sacramento	California	94207	916-322-2816	3.59	Female	 $87,863 	$5.34
399	 Steamy Moments	5 Schurz Park	Salinas	California	93907	831-744-9036	4.87	Female	 $72,558 	$4.27
400	 Caffeine Communion	9 Welch Street	Bakersfield	California	93381	661-131-0472	4.49	Female	 $72,725 	$4.86
401	 Mugful Magic	806 Mayer Junction	Los Angeles	California	90071	323-389-3985	4.01	Female	 $87,695 	$5.42
402	 Bean Brilliance	8701 Sachtjen Lane	Sacramento	California	94230	916-264-6597	3.60	Male	 $81,818 	$5.07
403	 Coffee Coziness	7505 Forster Terrace	San Diego	California	92160	619-723-3033	4.11	Female	 $74,658 	$4.46
404	 The Roast Refinery	71304 Cherokee Center	Bakersfield	California	93386	661-147-3853	5.00	Female	 $77,056 	$4.87
405	 Espresso Exuberance	49043 Portage Center	Sacramento	California	95828	916-391-8323	4.34	Female	 $83,453 	$5.03
406	 Brewed Dreamscape	5 Sommers Hill	Torrance	California	90505	310-610-7008	4.10	Male	 $76,315 	$4.86
407	 Cup of Comfort	55858 Glendale Plaza	San Diego	California	92121	619-302-8960	4.10	Male	 $83,358 	$4.89
408	 Latte Landmark	33344 Heath Plaza	Inglewood	California	90398	310-285-4968	1.66	Male	 $75,008 	$4.95
409	 Java Joyhouse	643 Green Street	Fresno	California	93715	209-849-9556	4.76	Male	 $82,282 	$5.10
410	 Frothy Fusion	4 Moland Point	Orange	California	92862	714-926-3633	4.51	Female	 $79,526 	$5.22
411	 Sip & Stories	4146 Moulton Street	Burbank	California	91505	818-573-8733	4.87	Female	 $88,333 	$5.57
412	 Perk Paradise	7 Sheridan Terrace	Oceanside	California	92056	858-816-5932	3.00	Female	 $77,003 	$5.10
413	 Urban Brewtropolis	11769 Melby Street	Burbank	California	91505	661-227-3900	4.62	Female	 $88,333 	$5.24
414	 Steamy Moments	17 Vahlen Crossing	Torrance	California	90505	310-746-3778	1.00	Female	 $76,315 	$4.80
415	 Caffeine Communion	7479 Briar Crest Trail	Inglewood	California	90310	310-150-7841	4.67	Male	 $87,586 	$5.34
416	 Mugful Magic	42 Oakridge Road	Santa Barbara	California	93111	805-744-0606	4.29	Female	 $88,404 	$5.33
417	 Bean Brilliance	9412 Monica Parkway	San Jose	California	95128	714-655-1810	4.42	Female	 $84,929 	$5.40
418	 Coffee Coziness	6 Jay Junction	Palo Alto	California	94302	310-841-2272	1.47	Male	 $89,954 	$5.82
419	 The Roast Refinery	609 Sunfield Point	Garden Grove	California	92844	310-827-5399	4.95	Female	 $80,480 	$5.14
420	 Espresso Exuberance	549 Armistice Circle	Garden Grove	California	92645	714-560-5797	4.96	Female	 $84,504 	$5.12
421	 Brewed Dreamscape	34 Rockefeller Terrace	Pomona	California	91797	909-975-6392	4.61	Male	 $83,646 	$5.53
422	 Cup of Comfort	676 Mallory Way	Stockton	California	95219	209-794-5581	4.40	Male	 $77,451 	$4.72
423	 Latte Landmark	384 Pearson Road	Sacramento	California	94250	916-480-3593	4.35	Female	 $74,226 	$5.02
424	 Java Joyhouse	518 Bobwhite Point	South Lake Tahoe	California	96154	530-745-8631	4.13	Male	 $88,458 	$5.12
425	 Frothy Fusion	8653 Graceland Avenue	Fresno	California	93721	209-972-0185	4.78	Female	 $76,700 	$4.45
426	 Sip & Stories	7 Ridgeway Alley	Stockton	California	95219	209-263-4688	4.65	Male	 $77,451 	$4.92
427	 Perk Paradise	2 Parkside Drive	San Jose	California	95155	408-939-3799	4.10	Male	 $85,684 	$5.53
428	 Urban Brewtropolis	18 Towne Circle	Los Angeles	California	90040	714-101-5092	4.03	Female	 $76,485 	$4.97
429	 Steamy Moments	94 Ohio Pass	Brea	California	92822	818-450-7185	1.94	Male	 $84,267 	$5.47
430	 Caffeine Communion	906 Badeau Crossing	Long Beach	California	90847	562-652-6995	4.37	Female	 $73,031 	$4.59
431	 Mugful Magic	27846 Utah Road	Oakland	California	94622	510-100-3320	4.70	Male	 $77,653 	$4.70
432	 Bean Brilliance	69721 Granby Drive	Fresno	California	93715	559-872-4716	4.68	Male	 $82,282 	$5.28
433	 Coffee Coziness	6071 Killdeer Circle	Pasadena	California	91199	626-751-4254	2.79	Male	 $80,131 	$5.39
434	 The Roast Refinery	8 4th Road	Bakersfield	California	93305	661-904-9526	4.78	Female	 $82,664 	$4.79
435	 Espresso Exuberance	999 Brentwood Alley	San Diego	California	92186	619-625-4810	4.33	Female	 $86,236 	$5.21
436	 Brewed Dreamscape	5541 Hoffman Park	San Diego	California	92165	619-220-6171	3.08	Male	 $76,524 	$5.18
437	 Cup of Comfort	47 Warrior Way	San Diego	California	92127	760-850-7683	4.01	Female	 $84,283 	$5.44
438	 Latte Landmark	854 Southridge Alley	San Francisco	California	94154	415-192-1039	4.70	Male	 $85,450 	$5.23
439	 Java Joyhouse	1084 Pearson Street	San Bernardino	California	92415	909-550-1642	4.50	Female	 $72,573 	$4.55
440	 Frothy Fusion	4 Melody Place	Sacramento	California	94297	916-539-0592	4.18	Female	 $87,000 	$5.28
441	 Sip & Stories	884 Hayes Lane	Long Beach	California	90831	562-497-3634	5.00	Male	 $76,580 	$4.78
442	 Perk Paradise	7 Londonderry Court	San Francisco	California	94126	415-561-9618	4.83	Female	 $73,870 	$5.07
443	 Urban Brewtropolis	699 Corry Way	Los Angeles	California	90094	323-300-5603	3.25	Female	 $81,405 	$4.67
444	 Steamy Moments	9004 Monument Hill	Garden Grove	California	92645	714-870-9632	1.72	Female	 $84,504 	$4.93
445	 Caffeine Communion	878 Meadow Ridge Trail	San Diego	California	92127	619-899-4336	2.02	Male	 $84,283 	$5.36
446	 Mugful Magic	233 Homewood Terrace	Los Angeles	California	90040	760-315-9020	1.42	Male	 $76,485 	$5.15
447	 Bean Brilliance	25214 Amoth Circle	Oakland	California	94660	510-741-5984	4.00	Male	 $75,099 	$4.82
448	 Coffee Coziness	66787 Lakewood Parkway	Berkeley	California	94712	510-878-4868	4.25	Male	 $89,361 	$5.49
449	 The Roast Refinery	34130 Kingsford Avenue	Los Angeles	California	90035	818-507-0636	4.87	Male	 $87,604 	$5.07
450	 Espresso Exuberance	26632 Duke Road	Fresno	California	93794	559-977-4247	3.98	Male	 $80,782 	$4.65
451	 Brewed Dreamscape	60 Sachtjen Circle	San Rafael	California	94913	415-142-4680	4.34	Female	 $82,926 	$5.17
452	 Cup of Comfort	978 Chive Pass	Burbank	California	91505	661-836-8868	4.17	Female	 $88,333 	$5.25
453	 Latte Landmark	5 Monterey Court	Oakland	California	94627	510-563-2455	4.53	Male	 $79,779 	$5.11
454	 Java Joyhouse	667 Service Drive	Santa Cruz	California	95064	831-247-5098	4.44	Male	 $88,439 	$5.04
455	 Frothy Fusion	2 Pepper Wood Street	San Jose	California	95150	408-260-4047	1.34	Male	 $88,036 	$5.61
456	 Sip & Stories	72 Mosinee Place	North Hollywood	California	91616	213-747-8556	4.67	Female	 $81,346 	$5.38
457	 Perk Paradise	8 Hintze Trail	San Francisco	California	94142	415-388-1350	2.95	Male	 $87,294 	$5.11
458	 Urban Brewtropolis	6484 Golf View Junction	Sacramento	California	94257	916-576-6702	3.05	Female	 $84,169 	$5.52
459	 Steamy Moments	86 Clyde Gallagher Park	San Jose	California	95155	408-292-1010	2.11	Female	 $85,684 	$5.68
460	 Caffeine Communion	7 Trailsway Trail	Fresno	California	93794	559-161-9497	3.04	Female	 $80,782 	$5.25
461	 Mugful Magic	66955 Wayridge Circle	Sacramento	California	94257	916-494-2565	4.00	Male	 $84,169 	$5.54
462	 Bean Brilliance	808 Packers Park	San Jose	California	95123	408-535-1615	3.44	Female	 $80,356 	$5.11
463	 Coffee Coziness	6878 4th Hill	San Rafael	California	94913	415-206-4066	4.35	Female	 $82,926 	$4.87
464	 The Roast Refinery	70 Vera Center	Santa Clara	California	95054	831-216-8579	4.50	Male	 $89,323 	$5.86
465	 Espresso Exuberance	69075 Riverside Pass	San Diego	California	92105	619-532-6887	4.92	Female	 $89,316 	$5.30
466	 Brewed Dreamscape	17 Mitchell Alley	Hayward	California	94544	415-633-1728	3.98	Male	 $72,092 	$4.95
467	 Cup of Comfort	37249 Florence Road	Newport Beach	California	92662	949-623-5260	4.25	Male	 $85,859 	$5.18
468	 Latte Landmark	7 Kennedy Junction	San Jose	California	95113	650-266-4887	4.70	Female	 $75,808 	$4.68
469	 Java Joyhouse	85266 Almo Hill	Los Angeles	California	90050	213-802-7227	4.40	Male	 $85,140 	$4.90
470	 Frothy Fusion	688 Eastwood Point	San Francisco	California	94105	650-231-4074	1.72	Female	 $87,534 	$5.09
